suburb,state,type,lga,num_page_by_lga,policy_names_by_lga
Moina,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Mole Creek,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Old Teal Flat,SA,Rural locality,Mid Murray,419,['Council Agenda and Attachments 19-September-2023 - Public v2']
Lower Beulah,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Oldina,TAS,Rural locality,Waratah/Wynyard,87,"['Waratah-Wynyard-Intergrated-Council-Environmental-Plan-iCEP-Aug-2020', 'Environmental-Sustainability-Policy']"
Olney,NSW,Rural locality,Cessnock,68,"['2023-CCC-Climate-Change-Resilience-Plan', 'Climate-Change-Policy']"
Omadale,NSW,Rural locality,Upper Hunter Shire,53,"['Climate Change Strategy', 'Sustainability Action Plan']"
Moogara,TAS,Rural locality,Derwent Valley,26,"['derwent-valley-climate-profile', 'Advocacy-Document']"
Omeo,VIC,Rural locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Redcliffe,QLD,Major Urban locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
One Tree,NSW,Rural locality,Hay,66,['2022-2026 Delivery Program and 2023-2024 Operational Plan NCCP']
One Tree Hill,SA,Rural locality,Playford,110,['Climate-Change-Adaptation-Plan']
Beulah,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Onkaparinga Hills,SA,Major Urban locality,Onkaparinga,80,"['Climate-Change-Response-Plan-PDF-version-incl-additional-climate-emergency-actions-July-2023', 'Towards-Zero-Corporate-Emissions-Roadmap', 'SUS230048-Climate-Change-Information-Sheet', 'Climate-Change-Snapshot-2023-June-2023', 'Climate-Change-Response-Plan-on-a-Page']"
Mount Lloyd,TAS,Rural locality,Derwent Valley,26,"['derwent-valley-climate-profile', 'Advocacy-Document']"
Mount Roland,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Oolong,NSW,Rural locality,Upper Lachlan Shire,135,['Annual-Report-2021-2022-NCCP']
Reedy Creek,QLD,Major Urban locality,Gold Coast,33,"['Council-plan-2022-2027', 'onc-strategy-2032', 'onc-strategy-2032-implementation-overview']"
Oombabeer,QLD,Rural locality,Central Highlands,93,['Annual-Report-2021-2022-NCCP']
Oombulgurri,WA,Rural locality,Wyndham-East Kimberley,77,"['Strategic-Community-Plan-2023-2033', 'Economic-Development-Plan-2021']"
Oonoonba,QLD,Major Urban locality,Townsville,69,"['Environmental-Policy-1', 'Survey-Summary-Report', 'Townsville-2021-2026-Corporate-Plan']"
Ooralea,QLD,Urban locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Ootha,NSW,Rural locality,Forbes,58,['Delivery Program and Operational Plan 2023-2025']
Opalton,QLD,Rural locality,Winton,97,['21-22 Annual Report - NCCP']
Ophir,NSW,Rural locality,Cabonne,74,['Cabonne Recovery Plan']
Neika,TAS,Rural locality,Kingborough,36,"['Kingborough-Climate-Change-Plan', 'Policy-6.13-Climate-Change', 'Key-Climate-Change-Initiatives-2022-23', 'Policy-6.9-Coastal-Hazards-v1']"
Orallo,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Orana,WA,Urban locality,Albany,20,"['City of Albany Climate Change Action Declaration', 'Corporate Power Plan 2023-2028']"
Orange,NSW,Rural locality,Cabonne,74,['Cabonne Recovery Plan']
Nile,TAS,Rural locality,Northern Midlands,6,"['Northern Midlands Council Strategic Plan - 2021', 'Asset Management Policy']"
Orange Grove,NSW,Rural locality,Gunnedah,69,['Future Plan 2040 - Gunnedah Shire ']
Orange Springs,WA,Rural locality,Gingin,203,"['Shire of Gingin CHRMAP', 'Strategic Community Plan 2022-2032']"
Orangeville,NSW,Rural locality,Wollondilly,53,['Wollondilly-2033-DeliveryProgram-3-Revised']
Orbost,VIC,Urban locality,East Gippsland,83,"['Environmental Sustainbility Strategy', 'Environmental Sustainability Action Plan - 2022-26']"
Orchid Valley,WA,Rural locality,Kojonup,157,['Policy Manual 2021 NCCP']
Ord River,WA,Rural locality,Halls Creek,56,['Shire of Halls Creek Strategic Community Plan NCCP']
Orion,QLD,Rural locality,Central Highlands,93,['Annual-Report-2021-2022-NCCP']
Ormeau,QLD,Major Urban locality,Gold Coast,33,"['Council-plan-2022-2027', 'onc-strategy-2032', 'onc-strategy-2032-implementation-overview']"
Ormeau Hills,QLD,Major Urban locality,Gold Coast,33,"['Council-plan-2022-2027', 'onc-strategy-2032', 'onc-strategy-2032-implementation-overview']"
Ormiston,QLD,Major Urban locality,Redland,254,"['Green-Living-Policy', 'Climate-Change-Risk-Assessment-Adaptation-Plan', 'Conservation-Land-Management-Strategy', 'Redland-Koala-Conservation-Strategy-2016']"
Orroroo,SA,Urban locality,Orroroo/Carrieton,79,['Annual Report 2022 - NCCP']
Orrvale,VIC,Rural locality,Greater Shepparton,204,"['GSCC-Climate-Adaptation-Plan', 'Urban-Forest-Strategy-v5b', 'GSCC-Winter-Climate-Adaptation-Plan-Brochure', 'Final Greater Shepparton City Council 2030 Zero Emissions Plan December 2021', 'Greater Shepparton Energy Reduction Plan 2016']"
Erub Island,QLD,Urban locality,Torres Strait Island,7,"['Climate Change Class Action - Pabai Pabai & Uncle Pail Kabai v Aust Government 2023 ', 'Terms of Reference for the Climate Change Adaptation and Environment Committee - November 2021']"
Osmaston,TAS,Rural locality,Meander Valley,168,['May-2023-MVC-Policy-Manual']
Osmington,WA,Rural locality,Augusta-Margaret River,82,"['Climate Action Plan 2020-2030', 'Climate Action Report Card 2022']"
Oswald,NSW,Rural locality,Maitland,52,['Environmental-Sustainability-Strategy-DRAFT']
Nook,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Ourimbah,NSW,Major Urban locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Ournie,NSW,Rural locality,Snowy Valleys,126,"['2023-24-delivery-program-and-operational-plan', 'zero-waste-strategy-2019-2030-svc-eng-pln-015-01-adopted-24102019']"
Russell Island,QLD,Urban locality,Redland,254,"['Green-Living-Policy', 'Climate-Change-Risk-Assessment-Adaptation-Plan', 'Conservation-Land-Management-Strategy', 'Redland-Koala-Conservation-Strategy-2016']"
Ouyen,VIC,Urban locality,Mildura,163,"['Draft-Community-Climate-Response-Plan-2023-2028', 'Annual-Environmental-Sustainability-Report-2021-2022', 'Electric-Vehicle-Charging-Infrastructure-Policy-CP053', 'Environmental-Sustainability-and-Climate-Change-Policy', 'Water-Management-Policy-CP024', 'Towards-Zero-Emissions-Strategy-2021-2050', 'Community-Health-and-Wellbeing-Plan-2021-2025-Final']"
North Bruny,TAS,Rural locality,Kingborough,36,"['Kingborough-Climate-Change-Plan', 'Policy-6.13-Climate-Change', 'Key-Climate-Change-Initiatives-2022-23', 'Policy-6.9-Coastal-Hazards-v1']"
Forth,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Owanyilla,QLD,Rural locality,Fraser Coast,91,"['Threatened-species-action-plan-2019', 'Marine-Turtles-A4', 'Wood-Encouragement-Council-Policy', 'Marine-Values-A4', 'Unauthorised-Vegetation-Damage-on-Council-Land-Council-Policy', '2022-23-Operational-Plan']"
Owen,SA,Rural locality,Wakefield,44,['WRC-Annual-Community-Plan-2022-23']
Owens Creek,QLD,Rural locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Owens Gap,NSW,Rural locality,Upper Hunter Shire,53,"['Climate Change Strategy', 'Sustainability Action Plan']"
Oxenford,QLD,Major Urban locality,Gold Coast,33,"['Council-plan-2022-2027', 'onc-strategy-2032', 'onc-strategy-2032-implementation-overview']"
Oxley Flats,VIC,Rural locality,Wangaratta,61,"['Climate-Mitigation-Adaptation-Policy', 'Urban-Tree-Plan', 'Environmental-Sustainability-Strategy-2021-26']"
Oxley Vale,NSW,Urban locality,Tamworth Regional,60,['Environmental Sustainability Strategy 2022 - 2026 ']
North Motton,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Ozenkadnook,VIC,Rural locality,West Wimmera,164,['2021-2022-Annual-Report-Final-NCCP']
Paaratte,VIC,Rural locality,Corangamite,93,"['Corangamite Shire Environment & Sustainability Strategy 2014-2019', 'Urban Street Trees Management Policy', 'Community Vision Plan 2040']"
Pacific Haven,QLD,Urban locality,Fraser Coast,91,"['Threatened-species-action-plan-2019', 'Marine-Turtles-A4', 'Wood-Encouragement-Council-Policy', 'Marine-Values-A4', 'Unauthorised-Vegetation-Damage-on-Council-Land-Council-Policy', '2022-23-Operational-Plan']"
Pacific Heights,QLD,Urban locality,Livingstone,26,"['Carbon Strategy 2030', 'Environmental Sustainability Policy v2.1']"
Pacific Paradise,QLD,Major Urban locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Pacific Pines,QLD,Major Urban locality,Gold Coast,33,"['Council-plan-2022-2027', 'onc-strategy-2032', 'onc-strategy-2032-implementation-overview']"
Nowhere Else,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Forthside,TAS,Rural locality,Devonport,33,"['Corporate Climate Change Adaptation Plan Year Five Status - 2023', 'Environment Strategy 2019-2024']"
Padthaway,SA,Rural locality,Tatiara,146,['Final-Tatiara-Coorong-LAP-080312-2']
Paechtown,SA,Rural locality,Mount Barker,49,"['Mount-Barker-District-Climate-Change-Action-Plan-2019', 'MBDC-Environment-Strategy-2018']"
Pagans Flat,NSW,Rural locality,Kyogle,43,['Sustainable Councils Communities Action Plan_Kyogle Council Adopted-June-2019']
Paloona,TAS,Rural locality,Devonport,33,"['Corporate Climate Change Adaptation Plan Year Five Status - 2023', 'Environment Strategy 2019-2024']"
Pages River,NSW,Rural locality,Upper Hunter Shire,53,"['Climate Change Strategy', 'Sustainability Action Plan']"
Paget,QLD,Urban locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Paisley,SA,Rural locality,Loxton Waikerie,235,"['Greening Loxton Strategy Loxton Recreation Grounds Committee', 'Ordinary Council Meeting Agenda 19July2023']"
Pakenham,VIC,Rural locality,Cardinia,436,"['Sustainable-Environment-Policy-2018-28', 'Biodiversity-Conservation-Strategy-2019-29', 'Climate-Change-Adaptation-Strategy-2022-2023', 'Cardinia-Shire-Biolink-Plan-2023-33', 'Aspirational-Energy-Transition-Plan-2014-24', 'Council-Enhanced-Standard-Sustainable-Buildings-2020-to-2026', 'Waste-and-Resource-Recovery-Strategy-2017-2026', 'Integrated-Water-Management-Plan', 'Climate-Change-Adaptation-Strategy-Action-plan']"
Pakenham South,VIC,Rural locality,Cardinia,436,"['Sustainable-Environment-Policy-2018-28', 'Biodiversity-Conservation-Strategy-2019-29', 'Climate-Change-Adaptation-Strategy-2022-2023', 'Cardinia-Shire-Biolink-Plan-2023-33', 'Aspirational-Energy-Transition-Plan-2014-24', 'Council-Enhanced-Standard-Sustainable-Buildings-2020-to-2026', 'Waste-and-Resource-Recovery-Strategy-2017-2026', 'Integrated-Water-Management-Plan', 'Climate-Change-Adaptation-Strategy-Action-plan']"
Pakenham Upper,VIC,Rural locality,Cardinia,436,"['Sustainable-Environment-Policy-2018-28', 'Biodiversity-Conservation-Strategy-2019-29', 'Climate-Change-Adaptation-Strategy-2022-2023', 'Cardinia-Shire-Biolink-Plan-2023-33', 'Aspirational-Energy-Transition-Plan-2014-24', 'Council-Enhanced-Standard-Sustainable-Buildings-2020-to-2026', 'Waste-and-Resource-Recovery-Strategy-2017-2026', 'Integrated-Water-Management-Plan', 'Climate-Change-Adaptation-Strategy-Action-plan']"
Palana,TAS,Rural locality,Flinders,90,['2021-2022 FC Annual Report - NCCP']
Palarang,NSW,Rural locality,Snowy Monaro Regional,104,['annual-report-2021-2022NCCP']
Palen Creek,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Palerang,NSW,Rural locality,Queanbeyan-Palerang Regional,414,"['QPRC-Community-Climate-Change-Action-Plan-updated-20-October-2021', 'Council-Operations-Climate-Change-Action-Plan-updated-20-October-2021', 'QPRC-Urban-Forest-Cooling-Strategy-Final', 'Public-Electric-Vehicle-Charging-Plan-2030', 'Qbyn-River-Riparian-Corridor-and-Platypus-Awareness-and-Conservation-Strategy']"
Palgarup,WA,Rural locality,Manjimup,50,['Environmental Management and Sustainability Strategy 2013']
Palgrave,QLD,Rural locality,Southern Downs,64,"['Southern-Downs-Environmental-Sustainability-StrategyFINAL', 'ESS-Action-Plan', 'Climate-Change-Adaptation-Action-Plan']"
Paling Yards,NSW,Rural locality,Oberon,208,['2021-2022 Annual Report - NCCP']
Penguin,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Pallal,NSW,Rural locality,Gwydir,207,['Annual-Report-2021-2022-NCCP']
Pallamallawa,NSW,Rural locality,Gwydir,207,['Annual-Report-2021-2022-NCCP']
Pallamana,SA,Rural locality,Murray Bridge,83,"['Climate-Change-Adaptation-Plan-2016-2021-adopted-by-Council-on-9-May-2016-1', 'Climate-Change-Lets-Talk-Fact-Sheet', 'RCMB-Media-Release-Climate-Emergency-October-2019', 'Environmental-Management-Plan-endorsed-10-May-2021']"
Pallarenda,QLD,Major Urban locality,Townsville,69,"['Environmental-Policy-1', 'Survey-Summary-Report', 'Townsville-2021-2026-Corporate-Plan']"
Plenty,TAS,Rural locality,Derwent Valley,26,"['derwent-valley-climate-profile', 'Advocacy-Document']"
Palm Beach,QLD,Major Urban locality,Gold Coast,33,"['Council-plan-2022-2027', 'onc-strategy-2032', 'onc-strategy-2032-implementation-overview']"
Palm Cove,QLD,Major Urban locality,Cairns,6,"['v4-Corporate-Sustainability-General-Policy', 'Youth Climate Summit 2019-Outcomes']"
Palm Island,QLD,Rural locality,Hinchinbrook,92,['annual_report_2021-2022NCCP']
Palmers Channel,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Palmers Island,NSW,Rural locality,Clarence Valley,193,"['Climate Change Policy V4', '100 Renewables Report', 'Clarence Valley Community Energy and Emissions Reduction Strategy July 2021']"
Poatina,TAS,Rural locality,Northern Midlands,6,"['Northern Midlands Council Strategic Plan - 2021', 'Asset Management Policy']"
Palmtree,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Palmvale,NSW,Rural locality,Tweed,168,"['interim-climate-change-action-plan', 'environmental-sustainability-prioritisation-strategy-2015', 'renewable-energy-action-plan-tweed-shire-council-facilities-october-2017', 'climate-ready-tweed-final-report-july-2023', 'climate-action-community-readiness-survey-summary']"
Palmview,QLD,Rural locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Palmyra,QLD,Rural locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Powranna,TAS,Rural locality,Northern Midlands,6,"['Northern Midlands Council Strategic Plan - 2021', 'Asset Management Policy']"
Paluma,QLD,Rural locality,Charters Towers,100,['2021-2022-Annual-Report-NCCP']
Pamayu,NT,Rural locality,Barkly,93,['Regional plan 2023-2024 NCCP']
Pampas,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Pampoolah,NSW,Rural locality,Mid-Coast,201,"['Climate Change Policy 1', 'Climate Action Strategy Final Report -v8']"
Pan Ban,NSW,Rural locality,Wentworth,57,['Annual-Report-2021-2022-NCCP']
Pangee,NSW,Rural locality,Bogan,161,['Bogan Shire Council Annual Report 2021-2022 NCCP']
Panmure,VIC,Rural locality,Moyne,86,"['Procurement Policy Adopted 7-December-2021', 'Environmental Sustainability Strategy']"
Pannawonica,WA,Urban locality,Ashburton,15,['Strategic Community Plan NCCP']
Preservation Bay,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
V Gate,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Para,NSW,Rural locality,Wentworth,57,['Annual-Report-2021-2022-NCCP']
Paraburdoo,WA,Urban locality,Ashburton,15,['Strategic Community Plan NCCP']
Paracombe,SA,Rural locality,Adelaide Hills,312,"['Biodiversity-Strategy-2019-24', 'Water-Management-Plan-2017', 'LED-lights-Infographic', 'Corporate-Carbon-Management-Plan-2019', 'Waste-and-Resources-Management-Strategy-2017', 'Resource-Recovery-and-Recycling-2019', 'COUNCIL-MEDIA-190329-Adelaide-Hills-Council-declares-Climate-Emergency', 'Climate-Change-Adaptation-Plan']"
Paradise Beach,VIC,Urban locality,Wellington,73,"['4.1.10 CLIMATE-CHANGE-AND-SUSTAINABILITY-POLICY', 'WSC-Sustainability Annual Report 2020-21', 'Sustainability-Strategy']"
Paradise Point,QLD,Major Urban locality,Gold Coast,33,"['Council-plan-2022-2027', 'onc-strategy-2032', 'onc-strategy-2032-implementation-overview']"
Paraparap,VIC,Rural locality,Surf Coast,128,"['Surf-Coast-Shire-Council-Climate-Emergency-Response-Plan-2021-2031-Final-6', 'Climate-Emergency-Progress-Report-January-June-2022', 'Climate-Emergency-Quarterly-Update-October-December-2021', 'D21-191558-Climate-Emergency-Corporate-Response-Plan-October-2021-update-Public-Summary2', 'Climate-change-survey-summary-final', 'SCS-055-Environmentally-Sustainable-Council-Facilities-Policy-Adopted-23-November-2021', 'Community-Development-Action-Plan-2022-2024', 'Council-Plan-incorporating-Health-and-Wellbeing-Plan-2021-2025-final-for-Council-meeting-12', 'D23-106966-Appendix-3-Climate-Emergency-2023-2025-Action-Plan-FINAL-DRAFT']"
Parattah,TAS,Rural locality,Southern Midlands,83,"['Climate-Change-and-EF-southern-midlands-climate-profile', 'Climate-Change-Adaptation-Plan-2020', 'CCAEE - Climate Change Adaptation in the Midlands - 1 - Introduction', 'CCAEE - Climate Change Adaptation in the Midlands - 2 - The Science', 'CCAEE - Climate Change Adaptation in the Midlands - 3 - Heat', 'CCAEE - Climate Change Adaptation in the Midlands - 4 - Township Lagoon Native Grasslands', 'CCAEE - Climate Change Adaptation in the Midlands - 5 - Bushfire', 'CCAEE - Climate Change Adaptation in the Midlands - 6 - The Need for Action Reflections on Councils Action Plan', 'CCAEE - Climate Change Adaptation in the Midlands - 7 - Chauncy Vale and Carbon Management', 'CCAEE - Climate Change Adaptation in the Midlands - 8 - Prioritising Protection of our Natural Environment', 'CCAEE - Climate Change Adaptation in the Midlands - Efficient Vehicle choices']"
Parawa,SA,Rural locality,Yankalilla,200,['Annual-Report-2022-FINAL-v.6']
Parham,SA,Urban locality,Adelaide Plains,8,['Emergency Management Policy']
Railton,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Paringa,SA,Rural locality,Renmark Paringa,138,"['RPC-EmergencyManagementPlanSeptember-2020', 'RPC - Water Stewardship Plan']"
Paringi,NSW,Rural locality,Wentworth,57,['Annual-Report-2021-2022-NCCP']
Park Avenue,QLD,Urban locality,Rockhampton,73,"['RRC-Sustainability-Strategy-2022-2030', 'RRC-ES-FY22-23-Year-in-Review', 'RRC-Environmental-Sustainability-Strategy-Year-in-Review-2021-22', 'Environmental-Sustainability-Policy-V3-Reviewed-10-December-2019', 'Fleet-Vehicle-Greenhouse-Gas-Emissions-Reduction-Policy-V2-Reviewed-18-December-2019']"
Parkdale,VIC,Major Urban locality,Kingston,340,"['climate-and-ecological-emergency-response-plan', 'kingston’s-integrated-water-strategy-nov-2022', 'kingstons-coastal-and-marine-management-plan-2023-v2', 'urban-cooling-strategy-final', 'public-health-and-wellbeing-plan-2021-2025', 'walking-and-cycling-plan', 'kingston-procurement-policy-local-government-act-2020-effective-31-december-2021']"
Parker Range,WA,Rural locality,Yilgarn,158,['Council-Policy-Manual-2-NCCP']
Parkerville,WA,Major Urban locality,Mundaring,249,"['Energy-and-Emissions-Reduction-Strategy', 'Climate-Adaptation-Action-Plan', 'Environmental-Sustainability-Policy-(OR-23)', 'Watercourse-Hierarchy-Strategy-(April-2023)', 'Local-Biodiversity-Strategy-2023-2030']"
Parkesbourne,NSW,Rural locality,Goulburn Mulwaree,61,['Waste and Resource Recovery Strategy']
Roland,TAS,Rural locality,Kentish,6,['Asset Management Policy v3.0']
Parkham,TAS,Rural locality,Meander Valley,168,['May-2023-MVC-Policy-Manual']
Parkhurst,QLD,Urban locality,Rockhampton,73,"['RRC-Sustainability-Strategy-2022-2030', 'RRC-ES-FY22-23-Year-in-Review', 'RRC-Environmental-Sustainability-Strategy-Year-in-Review-2021-22', 'Environmental-Sustainability-Policy-V3-Reviewed-10-December-2019', 'Fleet-Vehicle-Greenhouse-Gas-Emissions-Reduction-Policy-V2-Reviewed-18-December-2019']"
Parklands,QLD,Urban locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Parknook,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Parkside,QLD,Urban locality,Mount Isa,38,['Mount-Isa-Annual-Report-NCCP']
Parkville,NSW,Rural locality,Upper Hunter Shire,53,"['Climate Change Strategy', 'Sustainability Action Plan']"
Parkwood,QLD,Major Urban locality,Gold Coast,33,"['Council-plan-2022-2027', 'onc-strategy-2032', 'onc-strategy-2032-implementation-overview']"
Rosegarland,TAS,Rural locality,Derwent Valley,26,"['derwent-valley-climate-profile', 'Advocacy-Document']"
Rossarden,TAS,Rural locality,Northern Midlands,6,"['Northern Midlands Council Strategic Plan - 2021', 'Asset Management Policy']"
Sandfly,TAS,Rural locality,Kingborough,36,"['Kingborough-Climate-Change-Plan', 'Policy-6.13-Climate-Change', 'Key-Climate-Change-Initiatives-2022-23', 'Policy-6.9-Coastal-Hazards-v1']"
Preston,TAS,Rural locality,Central Coast,36,"['climate-change-policy', 'sustainability-and-climate-action-plan-2022-2025']"
Parramatta Park,QLD,Major Urban locality,Cairns,6,"['v4-Corporate-Sustainability-General-Policy', 'Youth Climate Summit 2019-Outcomes']"
Parraweena,NSW,Rural locality,Liverpool Plains,197,['Annual Report 2021-2022 NCCP']
Parrearra,QLD,Major Urban locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Parryville,WA,Rural locality,Denmark,96,"['Shire of Denmark Sustainability Program', 'Shire of Denmark Sustainability Action Plan FINAL', 'Sustainability Strategy 2021-2031', 'CoastalReserveManagement']"
Paruna,SA,Rural locality,Loxton Waikerie,235,"['Greening Loxton Strategy Loxton Recreation Grounds Committee', 'Ordinary Council Meeting Agenda 19July2023']"
Paschendale,VIC,Rural locality,Glenelg,110,['Environment Strategy 2010-2020']
Paskeville,SA,Rural locality,Barunga West,234,['Audit Committee Agenda PUBLIC']
Passchendaele,QLD,Rural locality,Southern Downs,64,"['Southern-Downs-Environmental-Sustainability-StrategyFINAL', 'ESS-Action-Plan', 'Climate-Change-Adaptation-Action-Plan']"
Pastoria,VIC,Rural locality,Macedon Ranges,381,"['Counting-Down-To-Zero-Zero-Net-Emissions-for-Council-Operations-Plan', 'Macedon-Mt-Macedon-Cool-Changes-Plan', 'ConversationCards', 'Factsheet-MentalHealth', 'Factsheet-PhysicalHealth', 'Biodiversity-Strategy-Final-December-2018', 'Sustainable-Buildings-Policy', 'Single-Use-Plastics-Policy-2023', 'Township-Street-Park-Tree-Management-Policy-2022', 'Environment-Strategy-2021', 'Climate-Change-Action-Plan']"
Pastoria East,VIC,Rural locality,Macedon Ranges,381,"['Counting-Down-To-Zero-Zero-Net-Emissions-for-Council-Operations-Plan', 'Macedon-Mt-Macedon-Cool-Changes-Plan', 'ConversationCards', 'Factsheet-MentalHealth', 'Factsheet-PhysicalHealth', 'Biodiversity-Strategy-Final-December-2018', 'Sustainable-Buildings-Policy', 'Single-Use-Plastics-Policy-2023', 'Township-Street-Park-Tree-Management-Policy-2022', 'Environment-Strategy-2021', 'Climate-Change-Action-Plan']"
Sandstone Point,QLD,Urban locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
Patchewollock,VIC,Rural locality,Mildura,163,"['Draft-Community-Climate-Response-Plan-2023-2028', 'Annual-Environmental-Sustainability-Report-2021-2022', 'Electric-Vehicle-Charging-Infrastructure-Policy-CP053', 'Environmental-Sustainability-and-Climate-Change-Policy', 'Water-Management-Policy-CP024', 'Towards-Zero-Emissions-Strategy-2021-2050', 'Community-Health-and-Wellbeing-Plan-2021-2025-Final']"
Patchs Beach,NSW,Rural locality,Ballina,47,"['Climate Change Policy', 'Community Climate Change Survey Report July 2021']"
Patersonia,TAS,Rural locality,Launceston,118,"['Launceston-Climate-Profile-Climate-Change-Information-for-Decision-Making', 'Climate-Summary-2022', 'Towards-Zero-Emissions', 'Sustainability-Action-Plan', 'City-of-Launceston-Sustainability-Action-Plan-Review-Final']"
Simpsons Bay,TAS,Rural locality,Kingborough,36,"['Kingborough-Climate-Change-Plan', 'Policy-6.13-Climate-Change', 'Key-Climate-Change-Initiatives-2022-23', 'Policy-6.9-Coastal-Hazards-v1']"
South Bruny,TAS,Rural locality,Kingborough,36,"['Kingborough-Climate-Change-Plan', 'Policy-6.13-Climate-Change', 'Key-Climate-Change-Initiatives-2022-23', 'Policy-6.9-Coastal-Hazards-v1']"
Patterson Lakes,VIC,Major Urban locality,Kingston,340,"['climate-and-ecological-emergency-response-plan', 'kingston’s-integrated-water-strategy-nov-2022', 'kingstons-coastal-and-marine-management-plan-2023-v2', 'urban-cooling-strategy-final', 'public-health-and-wellbeing-plan-2021-2025', 'walking-and-cycling-plan', 'kingston-procurement-policy-local-government-act-2020-effective-31-december-2021']"
Patyah,VIC,Rural locality,West Wimmera,164,['2021-2022-Annual-Report-Final-NCCP']
Pauls Pocket,QLD,Rural locality,Whitsunday,48,"['Climate Change Adaptation Policy', '11-ClimateAdaptationStrategy2016-2020', 'Climate Change Mitigation Strategy', 'Cilmate Change Mitigation Policy']"
